,Resumen,texto_limpio,pred_baseline
277,"The fluid flow modifier technology for continuous casting process was evaluated through numerical simulations and physical experiments in this work. In the casting of steel into the mold, the process presents liquid surface instabilities which extend along the primary cooling stage. By the use of trapezoid elements installed on the external walls of the submerged nozzle, it was observed that it is possible to obtain symmetry conditions at the top of the mold and prevent high level fluctuations. The flow modifiers have equidistant holes in the submerged surface to reduce the velocity of the liquid surface by energy and mass transfer between the generated quadrants. A flow modifier drilled with a 25 pct of the submerged surface provides stability in the mold and structural stability of the proposal is guaranteed.",the fluid flow modifier technology for continuous casting process was evaluated through numerical simulations and physical experiments in this work in the casting of steel into the mold the process presents liquid surface instabilities which extend along the primary cooling stage by the use of trapezoid elements installed on the external walls of the submerged nozzle it was observed that it is possible to obtain symmetry conditions at the top of the mold and prevent high level fluctuations the flow modifiers have equidistant holes in the submerged surface to reduce the velocity of the liquid surface by energy and mass transfer between the generated quadrants a flow modifier drilled with a pct of the submerged surface provides stability in the mold and structural stability of the proposal is guaranteed,cs.NA
278,"The two-volume set LNAI 10061 and 10062 constitutes the proceedings of the 15th Mexican International Conference on Artificial Intelligence, MICAI 2016, held in Cancún, Mexico, in October 2016. The total of 86 papers presented in these two volumes was carefully reviewed and selected from 238 submissions. The contributions were organized in the following topical sections: Part I: natural language processing; social networks and opinion mining; fuzzy logic; time series analysis and forecasting; planning and scheduling; image processing and computer vision; robotics. Part II: general; reasoning and multi-agent systems; neural networks and deep learning; evolutionary algorithms; machine learning; classification and clustering; optimization; data mining; graph-based algorithms; and intelligent learning environments.",the twovolume set lnai and constitutes the proceedings of the th mexican international conference on artificial intelligence micai held in cancn mexico in october the total of papers presented in these two volumes was carefully reviewed and selected from submissions the contributions were organized in the following topical sections part i natural language processing social networks and opinion mining fuzzy logic time series analysis and forecasting planning and scheduling image processing and computer vision robotics part ii general reasoning and multiagent systems neural networks and deep learning evolutionary algorithms machine learning classification and clustering optimization data mining graphbased algorithms and intelligent learning environments,cs.AI
279,"Synonymy is a relation of equivalence between the meanings of one or more words which allows the use of any word in an equivalent way depending on the context. Given the difficulty of defining the concordance between the meanings, the Natural Language Processing has focused on researching computational techniques that allow defining pairs of synonyms automatically. In this paper, a method based on lexico-syntactic patterns is proposed for the validation of semantic relations of synonymy between ontological concepts. An acronym will be considered a type of synonym within our paper. The results obtained by our proposed method were compared with the criterion of three experts, resulting above 80% of accuracy in the concordances of opinion between what is marked by the experts and the results of our proposed method.",synonymy is a relation of equivalence between the meanings of one or more words which allows the use of any word in an equivalent way depending on the context given the difficulty of defining the concordance between the meanings the natural language processing has focused on researching computational techniques that allow defining pairs of synonyms automatically in this paper a method based on lexicosyntactic patterns is proposed for the validation of semantic relations of synonymy between ontological concepts an acronym will be considered a type of synonym within our paper the results obtained by our proposed method were compared with the criterion of three experts resulting above of accuracy in the concordances of opinion between what is marked by the experts and the results of our proposed method,cs.CL
280,"In this work the multiphase flow in a top blown Basic Oxygen Furnace (BOF) is analyzed through Computational Fluid Dynamics software. The phases considered were molten iron and gaseous oxygen. 2D transient computer simulations without chemical reaction were carried out employing the Volume of Fluid multiphase model. In order to get a proper reproduction of the fluid flow, the Reynolds Stress Model was selected as turbulence model, and the Pressure Implicit Splitting Operation algorithm was applied to do the coupling between pressure and velocity. Besides, surface tension forces and wall adhesion were considered in the numerical simulations. Volume fraction and flow paths were obtained for each phase as a function of the jet velocity. Numerical results show that slopping is strongly dependent on the jet Mach number.",in this work the multiphase flow in a top blown basic oxygen furnace bof is analyzed through computational fluid dynamics software the phases considered were molten iron and gaseous oxygen d transient computer simulations without chemical reaction were carried out employing the volume of fluid multiphase model in order to get a proper reproduction of the fluid flow the reynolds stress model was selected as turbulence model and the pressure implicit splitting operation algorithm was applied to do the coupling between pressure and velocity besides surface tension forces and wall adhesion were considered in the numerical simulations volume fraction and flow paths were obtained for each phase as a function of the jet velocity numerical results show that slopping is strongly dependent on the jet mach number,cs.NA
281,"Scientific publications are the most important resources available to the research communities. Researchers want their work to be widely recognized and available and also need powerful search engines to identify other publications and researchers working in the same area. Therefore, a good representation and organization of scientific products is crucial for an accurate retrieval of information. This paper describes an approach for automated population and semantic enrichment of an ontology model that represents scientific publications. Specifically, the type of enrichment used in this approach consists of implementing semantic similarity measurements between publications. Several experiments were performed to identify the best similarity measurement, using a statistical approach and the precision of the measurements.",scientific publications are the most important resources available to the research communities researchers want their work to be widely recognized and available and also need powerful search engines to identify other publications and researchers working in the same area therefore a good representation and organization of scientific products is crucial for an accurate retrieval of information this paper describes an approach for automated population and semantic enrichment of an ontology model that represents scientific publications specifically the type of enrichment used in this approach consists of implementing semantic similarity measurements between publications several experiments were performed to identify the best similarity measurement using a statistical approach and the precision of the measurements,cs.CL
282,"One of the distributed artificial intelligence objectives is the decentralization of control. Multi-agent architectures distribute the control among two or more agents, which will be in charge of different events. In this paper the design of a parallel Multi-agent architecture for genetic algorithms is described, using a bottom-up behavior design and reactive agents. Such design tries to achieve the improvement solution of parallel genetic algorithms. The purpose of incorporating a reactive behavior in the parallel genetic algorithms is to improve the overall performance by up-dating the sub-populations according to the general behavior of the algorithm avoiding getting stuck in local minima. Two kinds of experiments were conducted for each one of the algorithms and the results obtained with both experiments are shown.",one of the distributed artificial intelligence objectives is the decentralization of control multiagent architectures distribute the control among two or more agents which will be in charge of different events in this paper the design of a parallel multiagent architecture for genetic algorithms is described using a bottomup behavior design and reactive agents such design tries to achieve the improvement solution of parallel genetic algorithms the purpose of incorporating a reactive behavior in the parallel genetic algorithms is to improve the overall performance by updating the subpopulations according to the general behavior of the algorithm avoiding getting stuck in local minima two kinds of experiments were conducted for each one of the algorithms and the results obtained with both experiments are shown,cs.AI
283,"In this paper, we describe the process by which web services ontologies are populated from a web services collection. The general approach relies on a global ontology model that is used to represent automatically web services. The model is enriched with web service instances classified into a taxonomy. The main idea is to extract taxonomic relations (isTypeOf) from web services using a supervised classifier of textual descriptions attached to web services. The entire process for ontology population involves the following tasks: text extraction from web service descriptions, classification of text descriptions and extraction of taxonomic relations (instances of classified web services). An experimentation was carried out with a collection of web service, which shows promising results and the feasibility of our approach.",in this paper we describe the process by which web services ontologies are populated from a web services collection the general approach relies on a global ontology model that is used to represent automatically web services the model is enriched with web service instances classified into a taxonomy the main idea is to extract taxonomic relations istypeof from web services using a supervised classifier of textual descriptions attached to web services the entire process for ontology population involves the following tasks text extraction from web service descriptions classification of text descriptions and extraction of taxonomic relations instances of classified web services an experimentation was carried out with a collection of web service which shows promising results and the feasibility of our approach,cs.AI
284,"The generalized robust colouring problem (GRCP) deals with a robust colouring for a given graph with a fixed number of colours, not necessarily the chromatic number and considers the distance between colours as the penalization of complementary edges. This problem provides a way to solve timetabling problems that consider ‘event spread constraints’ such as ‘there must be at least d days between two events’. Because this problem is NP-hard, a heuristic approach is necessary to produce good solutions in a reasonable amount of time for large instances. In this work a greedy randomized adaptive search procedure (GRASP) is proposed to solve GRCP, which was used in instances to schedule course lectures requiring from 30 to 120 h per week in total, in which the bound of the optimal solution is reached in almost every instance.",the generalized robust colouring problem grcp deals with a robust colouring for a given graph with a fixed number of colours not necessarily the chromatic number and considers the distance between colours as the penalization of complementary edges this problem provides a way to solve timetabling problems that consider event spread constraints such as there must be at least d days between two events because this problem is nphard a heuristic approach is necessary to produce good solutions in a reasonable amount of time for large instances in this work a greedy randomized adaptive search procedure grasp is proposed to solve grcp which was used in instances to schedule course lectures requiring from to h per week in total in which the bound of the optimal solution is reached in almost every instance,cs.DS
285,"The calculation of non-saturated inductances for a solid-rotor generator is performed using analytical formulae and finite-element computations. The inductance profiles are obtained in the ABC frame of reference. It is assumed that the machine is operating in the linear region of the open-circuit characteristic. Finite-element simulations are more accurate than analytical approaches since the electromagnetic phenomena is better represented. On the other, hand, analytical formulae is computationally less expensive but accuracy is questionable since many approximations are considered for their final establishment. Proper combination of both techniques gives a good trade-off between accuracy and computational costs. Steady-state inductances are employed for example in the determination of the machine operation safe regions.",the calculation of nonsaturated inductances for a solidrotor generator is performed using analytical formulae and finiteelement computations the inductance profiles are obtained in the abc frame of reference it is assumed that the machine is operating in the linear region of the opencircuit characteristic finiteelement simulations are more accurate than analytical approaches since the electromagnetic phenomena is better represented on the other hand analytical formulae is computationally less expensive but accuracy is questionable since many approximations are considered for their final establishment proper combination of both techniques gives a good tradeoff between accuracy and computational costs steadystate inductances are employed for example in the determination of the machine operation safe regions,cs.SY
286,"Current technological advance opens up a range of possibilities in the educational area, to which new technologies have been incorporated to improve it. Emphasizes the participation of different areas of knowledge, to the moment on the sidelines. Affective computing in conjunction with graphic design offers the ability to enhance the visual impact of interfaces and avatars by applying his theories, including the use of color and the role of emotions during the interaction. This work focuses on a proposal in which color psychology with learning styles is related by own of each characteristic. Another important part of this proposal is that depending on the resulting learning style may be related to a personality. This will allow modeling an avatar, including emotional characteristics both in their behavior and appearance.",current technological advance opens up a range of possibilities in the educational area to which new technologies have been incorporated to improve it emphasizes the participation of different areas of knowledge to the moment on the sidelines affective computing in conjunction with graphic design offers the ability to enhance the visual impact of interfaces and avatars by applying his theories including the use of color and the role of emotions during the interaction this work focuses on a proposal in which color psychology with learning styles is related by own of each characteristic another important part of this proposal is that depending on the resulting learning style may be related to a personality this will allow modeling an avatar including emotional characteristics both in their behavior and appearance,cs.CV
287,"Colouring problems can model different problems in the real world. Among the problems of colouring we have the Soft Graph Colouring, in which, given an undirected complete graph with weights on its edges (penalisations), we search to reduce the sum of the penalisations between two vertices painted with the same colour. Also, we have the classic colouring problems, which includes: minimal, weak, equitable and robust colouring. The objective of this work is to develop an integrative model that solves the classic colouring problems through the Soft Graph Colouring model and GRASP metaheuristic algorithm, using particular instances to each colouring problem that allow to compare how efficient the proposed model is; so will be possible to observe the behaviour of Soft Graph Colouring solving other types of colouring problems.",colouring problems can model different problems in the real world among the problems of colouring we have the soft graph colouring in which given an undirected complete graph with weights on its edges penalisations we search to reduce the sum of the penalisations between two vertices painted with the same colour also we have the classic colouring problems which includes minimal weak equitable and robust colouring the objective of this work is to develop an integrative model that solves the classic colouring problems through the soft graph colouring model and grasp metaheuristic algorithm using particular instances to each colouring problem that allow to compare how efficient the proposed model is so will be possible to observe the behaviour of soft graph colouring solving other types of colouring problems,cs.DS
288,"today the garment industry in México is vulnerable to complex problems. This type of industry is subject to influences which over time, modify the perceptions of those involved in the design process due to the fact that they face problems that have both objective and subjective characteristics. In this study we used interviews, direct observation methodology, and theoretical argumentation to obtain the experts’ knowledge as they describe the problems that arise in the process of garment design for Mexican markets. The objective of this work is to generate a methodology so that the expert in this field will become highly specialized, resulting in heightened abilities and reinforcing them with the methodology of soft systems and the design management model. The results suggest that they are applicable to any area of design.",today the garment industry in mxico is vulnerable to complex problems this type of industry is subject to influences which over time modify the perceptions of those involved in the design process due to the fact that they face problems that have both objective and subjective characteristics in this study we used interviews direct observation methodology and theoretical argumentation to obtain the experts knowledge as they describe the problems that arise in the process of garment design for mexican markets the objective of this work is to generate a methodology so that the expert in this field will become highly specialized resulting in heightened abilities and reinforcing them with the methodology of soft systems and the design management model the results suggest that they are applicable to any area of design,cs.AI
289,"Districting is the redrawing of the boundaries of legislative districts for electoral purposes in such a way that the Federal or state requirements, such as contiguity, population equality, and compactness, are fulfilled. The resulting optimization problem involves the former requirement as a hard constraint while the other two are considered as conflicting objective functions. The solution technique used for many years by the Mexican Federal Electoral Institute was an algorithm based on Simulated Annealing. In this article, we present the system proposed for the electoral districting process in the state of Mexico. This system included, a geographic tool to visualize and edit districting plans, and for first time in Mexico, the use of an Artificial Bee Colony based algorithm that automatically creates redistricting plans.",districting is the redrawing of the boundaries of legislative districts for electoral purposes in such a way that the federal or state requirements such as contiguity population equality and compactness are fulfilled the resulting optimization problem involves the former requirement as a hard constraint while the other two are considered as conflicting objective functions the solution technique used for many years by the mexican federal electoral institute was an algorithm based on simulated annealing in this article we present the system proposed for the electoral districting process in the state of mexico this system included a geographic tool to visualize and edit districting plans and for first time in mexico the use of an artificial bee colony based algorithm that automatically creates redistricting plans,cs.AI
290,"In this paper, we present a visual emulator of the emotions seen in characters in stories. This system is based on a simplified view of the cognitive structure of emotions proposed by Ortony, Clore and Collins (OCC Model). The goal of this paper is to provide a visual platform that allows us to observe changes in the characters' different emotions, and the intricate interrelationships between: 1) each character's emotions, 2) their affective relationships and actions, 3) The events that take place in the development of a plot, and 4) the objects of desire that make up the emotional map of any story. This tool was tested on stories with a contrasting variety of emotional and affective environments: Othello, Twilight, and Harry Potter, behaving sensibly and in keeping with the atmosphere in which the characters were immersed.",in this paper we present a visual emulator of the emotions seen in characters in stories this system is based on a simplified view of the cognitive structure of emotions proposed by ortony clore and collins occ model the goal of this paper is to provide a visual platform that allows us to observe changes in the characters different emotions and the intricate interrelationships between each characters emotions their affective relationships and actions the events that take place in the development of a plot and the objects of desire that make up the emotional map of any story this tool was tested on stories with a contrasting variety of emotional and affective environments othello twilight and harry potter behaving sensibly and in keeping with the atmosphere in which the characters were immersed,cs.AI
291,"Universities must know the research profiles and professional competences of professors and researchers to be more competitive and know how to offer creative solutions (through courses, diplomas, research projects, etc.) to complex needs of society. Therefore the representation, management, and exploitation of researcher profiles are important tasks that must be addressed. In this paper we investigate on the use of ontologies as the main solution approach to support the representation of researcher profiles in a given academic environment. We describe the ontology model design, the automatic ontology population process, and the discovery and enrichment of interesting semantic relations between researcher profiles. The functional competency of the resulting ontology is evaluated utilizing a set of inference rules and queries.",universities must know the research profiles and professional competences of professors and researchers to be more competitive and know how to offer creative solutions through courses diplomas research projects etc to complex needs of society therefore the representation management and exploitation of researcher profiles are important tasks that must be addressed in this paper we investigate on the use of ontologies as the main solution approach to support the representation of researcher profiles in a given academic environment we describe the ontology model design the automatic ontology population process and the discovery and enrichment of interesting semantic relations between researcher profiles the functional competency of the resulting ontology is evaluated utilizing a set of inference rules and queries,cs.AI
292,"In the initial phase of ATF operation, the plasma minor radius and the edge rotational transform were reduced by field errors. This caused an effective change of the magnetic configuration: it improved the stability properties but worsened the equilibrium properties. The threshold for the second stability regime was lowered to ..beta../sub 0/ /approximately/ 1.5%. Experimental profile data are compatible with operation in the second stability regime, and the achieved beta values, ..beta../sub 0/ /approximately/ 3%, are well beyond the theoretically calculated threshold. Magnetic fluctuation measurements showed the effects of beta self-stabilization. They are in reasonable agreement with the predictions of the theory and support the evidence that ATF has already operated in the second stability regime. 24 refs., 20 figs., 1 tab.",in the initial phase of atf operation the plasma minor radius and the edge rotational transform were reduced by field errors this caused an effective change of the magnetic configuration it improved the stability properties but worsened the equilibrium properties the threshold for the second stability regime was lowered to betasub approximately experimental profile data are compatible with operation in the second stability regime and the achieved beta values betasub approximately are well beyond the theoretically calculated threshold magnetic fluctuation measurements showed the effects of beta selfstabilization they are in reasonable agreement with the predictions of the theory and support the evidence that atf has already operated in the second stability regime refs figs tab,cs.NA
293,"Violence in Mexico presents a significant challenge to public safety and social stability and requires a comprehensive understanding of its temporal dynamics. This study uses a complex temporal networks approach to analyze patterns of violence across municipalities, focusing on crimes such as homicide, sexual assault, discrimination, and armed robbery. Using data spanning 6 years (2015–2021), this study builds temporal networks to find fundamental patterns and trends in violence. Then, using advanced network analysis techniques, including robustness assessment and influence quantification, key influential municipalities were identified within the violence network. The findings of this research can offer valuable information to carry out specific interventions and resource allocation strategies to improve public safety in Mexico.",violence in mexico presents a significant challenge to public safety and social stability and requires a comprehensive understanding of its temporal dynamics this study uses a complex temporal networks approach to analyze patterns of violence across municipalities focusing on crimes such as homicide sexual assault discrimination and armed robbery using data spanning years this study builds temporal networks to find fundamental patterns and trends in violence then using advanced network analysis techniques including robustness assessment and influence quantification key influential municipalities were identified within the violence network the findings of this research can offer valuable information to carry out specific interventions and resource allocation strategies to improve public safety in mexico,cs.AI
294,"The Dst or Disturbance storm time index is a measure of geomagnetic activity used to assess the effect of magnetic storm. Solar storm can disrupt communication and navigational equipment, damage satellites, and even cause blackouts by damaging power plant and electrical grid components. On March 13th, 1989, a geomagnetic superstorm (Dst=-589nT) occurred, affecting power systems of Canada and United States contries, resulting in a major power outage for the majority of Quebec region and the northeastern of United States. Central and southern Sweden also experienced power losses. Because our civilization has evolved into a technology dependent society. Today a solar storm of this magnitude or greater could produce a global catastrophe. In this work we used the recurrence plot series to characterize the dynamic of the time serie (Dst).",the dst or disturbance storm time index is a measure of geomagnetic activity used to assess the effect of magnetic storm solar storm can disrupt communication and navigational equipment damage satellites and even cause blackouts by damaging power plant and electrical grid components on march th a geomagnetic superstorm dstnt occurred affecting power systems of canada and united states contries resulting in a major power outage for the majority of quebec region and the northeastern of united states central and southern sweden also experienced power losses because our civilization has evolved into a technology dependent society today a solar storm of this magnitude or greater could produce a global catastrophe in this work we used the recurrence plot series to characterize the dynamic of the time serie dst,cs.SY
295,"The Content-Based Image Retrieval (CBIR) techniques comprise methodologies intended to retrieve self-content descriptors over the image data set being studied according to the type of the image. The main purpose of CBIR consists in classifying images avoiding the use of manual labels related to understanding of the image by the human being vision. In this work we provide a new CBIR procedure which works with local texture analysis, and which is developed in a non supervised fashion, clustering the local achieved descriptors and classifying them with the use of a K-means algorithm supported by the genetic algorithm. This method has been deployed in LabVIEW software, programming each part of the procedure in order to implement it in hardware. The results are very promising, reaching up to 90% of recall for natural scene classification.",the contentbased image retrieval cbir techniques comprise methodologies intended to retrieve selfcontent descriptors over the image data set being studied according to the type of the image the main purpose of cbir consists in classifying images avoiding the use of manual labels related to understanding of the image by the human being vision in this work we provide a new cbir procedure which works with local texture analysis and which is developed in a non supervised fashion clustering the local achieved descriptors and classifying them with the use of a kmeans algorithm supported by the genetic algorithm this method has been deployed in labview software programming each part of the procedure in order to implement it in hardware the results are very promising reaching up to of recall for natural scene classification,cs.CV
296,"The fuel economy and carbon dioxide emissions (CO 2) of a heavy duty pickup moving in a driving cycle is calculated using the sofware UAMmero. The driving cycle consists of three parts: in the first part the vehicle is simulated to travel in an urban region in which the speed changes constantly, in the second part the simulated vehicle travels in a highway with a cruise speed of 88.514 kilometers/hour and in the third part the simulated vehicle travels at a cruise speed of 104.607 kilometers per hour. Results for the fuel economy and CO 2 emissions for a 4.407 ton, six gear transmission, 200 horse power diesel engine heavy Duty pickup are presented for different masses of the loads and slopes of the road. These results are part of a study to propose a method to certify heavy duty vehicles for fuel economy and CO 2 emissions in Mexico.",the fuel economy and carbon dioxide emissions co of a heavy duty pickup moving in a driving cycle is calculated using the sofware uammero the driving cycle consists of three parts in the first part the vehicle is simulated to travel in an urban region in which the speed changes constantly in the second part the simulated vehicle travels in a highway with a cruise speed of kilometershour and in the third part the simulated vehicle travels at a cruise speed of kilometers per hour results for the fuel economy and co emissions for a ton six gear transmission horse power diesel engine heavy duty pickup are presented for different masses of the loads and slopes of the road these results are part of a study to propose a method to certify heavy duty vehicles for fuel economy and co emissions in mexico,cs.SY
297,"A virtual community is a social group of any size that shares common interests and communicates through the Internet. A user joins a virtual community not only because of its popularity or the quality of its contents, but also owing to the user experience that the platform offers. Anticipated User eXperience (AUX) allows knowing the idealisations, hopes, and desires of the users in a very early stage of any development. Participation is a crucial component in the growth and survival of any virtual community. An essential element for people to participate in a virtual community is that the platform should provide suitable user tools, which are widgets that allow users to interact with their peers. We propose an AUX evaluation framework for user tools, whose intention is to improve their design, and through it, the participation of users.",a virtual community is a social group of any size that shares common interests and communicates through the internet a user joins a virtual community not only because of its popularity or the quality of its contents but also owing to the user experience that the platform offers anticipated user experience aux allows knowing the idealisations hopes and desires of the users in a very early stage of any development participation is a crucial component in the growth and survival of any virtual community an essential element for people to participate in a virtual community is that the platform should provide suitable user tools which are widgets that allow users to interact with their peers we propose an aux evaluation framework for user tools whose intention is to improve their design and through it the participation of users,cs.AI
298,"Given a set P of 3k points in general position in the plane, a Euclidean 3-matching is a partition of P into k triplets, such that the cost of each triplet (u, v, w) is the sum of the lengths of the segments \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\overline{uv}$$\end{document} and \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\overline{wv}$$\end{document}, and the cost of the 3-matching is the sum of the costs of its triplets. We are interested in finding non-crossing …",given a set p of k points in general position in the plane a euclidean matching is a partition of p into k triplets such that the cost of each triplet u v w is the sum of the lengths of the segments documentclassptminimal pt and documentclassptminimal pt and the cost of the matching is the sum of the costs of its triplets we are interested in finding noncrossing,cs.DS
299,"A virtual community is a social group of any size that shares common interests and communicates through the Internet. A user joins a virtual community not only because of its popularity or the quality of its contents, but also owing to the user experience that the platform offers. Anticipated User eXperience (AUX) allows knowing the idealisations, hopes, and desires of the users in a very early stage of any develop-ment. Participation is a crucial component in the growth and survival of any virtual community. An essential element for people to participate in a virtual community is that the platform should provide suitable user tools, which are widgets that allow users to interact with their peers. We propose an AUX evaluation framework for user tools, whose intention is to improve their design, and through it, the participation of users.",a virtual community is a social group of any size that shares common interests and communicates through the internet a user joins a virtual community not only because of its popularity or the quality of its contents but also owing to the user experience that the platform offers anticipated user experience aux allows knowing the idealisations hopes and desires of the users in a very early stage of any development participation is a crucial component in the growth and survival of any virtual community an essential element for people to participate in a virtual community is that the platform should provide suitable user tools which are widgets that allow users to interact with their peers we propose an aux evaluation framework for user tools whose intention is to improve their design and through it the participation of users,cs.AI
300,"The effect of the quantity of reagent used by weight of starch, the reaction temperature, the time and the pH of the suspension on some physicochemical properties were evaluated. An increment of the swelling power and the solubility of maize starch, and a slight reduction of the initial temperature of gelatinization were proved. The reaction temperature was the most important variable in the process. Higher reaction temperature provokes a reduction of the substitution or introduction of acetyl groups, while the time of reaction and suspension pH significantly influence swelling power and the solubility of starch. These properties increased with short reaction time (1 h) and a pH range of 8.0-8.5. No important changes in viscosity due to the modification occurred, although a tendency to diminish with increased acetylation level was found.",the effect of the quantity of reagent used by weight of starch the reaction temperature the time and the ph of the suspension on some physicochemical properties were evaluated an increment of the swelling power and the solubility of maize starch and a slight reduction of the initial temperature of gelatinization were proved the reaction temperature was the most important variable in the process higher reaction temperature provokes a reduction of the substitution or introduction of acetyl groups while the time of reaction and suspension ph significantly influence swelling power and the solubility of starch these properties increased with short reaction time h and a ph range of no important changes in viscosity due to the modification occurred although a tendency to diminish with increased acetylation level was found,cs.SY
301,"Security on electronic voting systems is fundamental; it must assure the integrity of all the elements involved or generated during a voting process. This paper presents a design of secure architectures for providing security, integrity and authenticity of the most important elements involved in an electoral process: configuration files, recorded votes and final result files. Also, different cryptographic protocols for assuring security properties of configuration and final result files are presented as a part of one of the layers of the architectures. We consider a polling place electronic voting system composed by three stages and the use of three different systems during the whole process. Our analysis of architectures and protocols shows that the designed elements assure the secure properties which an electronic voting system must fulfill.",security on electronic voting systems is fundamental it must assure the integrity of all the elements involved or generated during a voting process this paper presents a design of secure architectures for providing security integrity and authenticity of the most important elements involved in an electoral process configuration files recorded votes and final result files also different cryptographic protocols for assuring security properties of configuration and final result files are presented as a part of one of the layers of the architectures we consider a polling place electronic voting system composed by three stages and the use of three different systems during the whole process our analysis of architectures and protocols shows that the designed elements assure the secure properties which an electronic voting system must fulfill,cs.CR
302,"The basic concepts of logic gates are now taught in high school and university. In laboratories, it is essential to understand the integrated circuits (ICs) that make digital systems and computers possible. This paper proposes an augmented reality (AR) system based on smart phones that automatically identifies 7 basic logic gate integrated circuits that are: AND gate, OR gate, NOT gate, NAND gate, NOR gate, XOR gate and XNOR gate. Starting from the IC image taken by the smartphone, it digitally generates a layer of virtual objects that are then mixed with the original image. Under the markerless paradigm, 2 virtual objects are placed over the IC: IC identification and pin information. Finally, the smartphone screen shows the image of the logic gate obtained. The entire evaluation of the AR system is presented with a technical efficiency of 100%.",the basic concepts of logic gates are now taught in high school and university in laboratories it is essential to understand the integrated circuits ics that make digital systems and computers possible this paper proposes an augmented reality ar system based on smart phones that automatically identifies basic logic gate integrated circuits that are and gate or gate not gate nand gate nor gate xor gate and xnor gate starting from the ic image taken by the smartphone it digitally generates a layer of virtual objects that are then mixed with the original image under the markerless paradigm virtual objects are placed over the ic ic identification and pin information finally the smartphone screen shows the image of the logic gate obtained the entire evaluation of the ar system is presented with a technical efficiency of,cs.CR
303,"It is possible that innate characteristics can have a certain effect on the students' performance. Two of the most important characteristics of a person are their gender and their age. Universities are institutions that must be opened for every person, not mattering their age of gender, however it could be possible that these factors could represent a decisive factor over students' performance. For this reason, educational analytics must be performed for determining if there is a relationship between the age, the gender and both of them over students' performance. The goal of this work is to show if there is a relationship between age and gender over the performance of engineering students. Results show that gender is not a decisive factor for determining if a student will finish their studies, but age clearly represents a topic to be considered.",it is possible that innate characteristics can have a certain effect on the students performance two of the most important characteristics of a person are their gender and their age universities are institutions that must be opened for every person not mattering their age of gender however it could be possible that these factors could represent a decisive factor over students performance for this reason educational analytics must be performed for determining if there is a relationship between the age the gender and both of them over students performance the goal of this work is to show if there is a relationship between age and gender over the performance of engineering students results show that gender is not a decisive factor for determining if a student will finish their studies but age clearly represents a topic to be considered,cs.AI
304,"In this paper, simulation studies are performed in order to compare three control algorithms: a neurocontroller with a single perceptron, a fuzzy controller and a conventional proportional-plus-integral control. Each of the three control algorithms is tested on a continuous stirred tank reactor, under identical conditions with respect to set point regulation and load disturbances. The product composition is the controlled variable, and the manipulated variable is the coolant flowrate. Simulation results of the ability of each controller are shown for the regulatory and servo control of the reactor. It is found that the neuro-control algorithm compares well with the other two control systems, while the fuzzy controller performance was better than the fixed-gain PI controller. The best characteristics of each of the control algorithms are discussed.",in this paper simulation studies are performed in order to compare three control algorithms a neurocontroller with a single perceptron a fuzzy controller and a conventional proportionalplusintegral control each of the three control algorithms is tested on a continuous stirred tank reactor under identical conditions with respect to set point regulation and load disturbances the product composition is the controlled variable and the manipulated variable is the coolant flowrate simulation results of the ability of each controller are shown for the regulatory and servo control of the reactor it is found that the neurocontrol algorithm compares well with the other two control systems while the fuzzy controller performance was better than the fixedgain pi controller the best characteristics of each of the control algorithms are discussed,cs.SY
